numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
200610662T;Institut de recherche en sciences et techniques de la ville;IRSTV;2002;Structures Fédératives de Recherche;3;3;https://irstv.ec-nantes.fr/;1 rue de la Noë;44321;NANTES CEDEX 3;INARD,CALMET,MUSY,BECHET;Christian,Isabelle,Marjorie,Béatrice;DIR-ADJ,DIR-ADJ,DIR-ADJ,DIR;FR 2488,FR 2488,FR 2488;Université La Rochelle,Ecole Centrale de Nantes,Ecole Nationale Supérieure d'Architecture de Nantes,Le Mans Université,Centre national de la recherche scientifique,Institut mines télécom,Ecole nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire,Université Gustave Eiffel,Nantes Université,Conservatoire National des Arts et Métiers Paris,Centre Scientifique et Technique du Bâtiment,BRGM,Institut national d'enseignement supérieur pour l'agriculture, l'alimentation et l'environnement;LA ROCHELLE,EC. CENTRALE NANTES,EC. ARCHI. NANTES,LE MANS,CNRS,MinesTélécom,IMT Atlantique,UNIV.G.EIFFEL,Nantes Université,CNAM PARIS,CSTB,BRGM,Institut Agro;UNIV,AUT_ETAB,AUT_ETAB,UNIV,EPST,AUT_ETAB,AUT_ETAB,UNIV,UNIV,AUT_ETAB,EPIC,EPIC,AUT_ETAB;Université,Autres établissements ESR,Autres établissements ESR,Université,Organismes de type EPST,Autres établissements ESR,Autres établissements ESR,Université,Université,Autres établissements ESR,Organismes de type EPIC,Organismes de type EPIC,Autres établissements ESR;0171463Y,0440100V,0440104Z,0720916E,0753639Y,0912424R,0292355C,0772894C,0442953W,0753471R,0942226J,0755363X,0756246G;19170032700015,19440100600011,19440104800021,19720916600010,18008901303720,18009202500154,18009202500121,13002612300013,13002974700016,19753471200017,77568822900027,58205614900120,13002622200013;TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,PART,PART,PART,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant,établissement participant,établissement participant,établissement participant;200817993C;;;;;;6,8;Sciences humaines et humanités,Sciences pour l'ingénieur;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200610662T&PUBLIC=OK
201822815A;Centre de Ressources et de Recherches Technologiques (C2RT);C2RT;2018;Unité propre;21;2;;Institut Pasteur, 25-28 rue du Docteur ROUX;75724;Paris Cedex 15;SHORTE;Spencer;;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;202124295W,202124294V,202124293U,202124111W,202124023A,202024021C,201822895M,201822843F,201822820F,201822819E,201822818D,201822817C,201722531W,201722530V,201722528T,201722448F,201321612P,201321541M,200218085D,200218084C,200021634V,200018093W,000021543S,000021537K;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822815A&PUBLIC=OK
200310841A;Observatoire des sciences de l'univers de Grenoble;OSUG;1985;Structures Fédératives de Recherche;3;3;http://www.osug.fr/;UNIV GRENOBLE ALPES, Bâtiment OSUG - D, 122 rue de la Piscine;38400;ST MARTIN D HERES;JACOBI,COTTE,BONAL,VOISIN,MALBET;Hans Werner,Nathalie,Lydie,Didier,Fabien;Directeur adjoint,Directrice,Directrice adjointe,Directeur adjoint,Directeur adjoint;UAR 832,UAR 222,UMS 1484,UMS 832,UMS 832,UMS 832,UMS 832,UMS 832;Centre national de la recherche scientifique,Institut de recherche pour le developpement,Institut national de recherche pour l'agriculture, l'alimentation et l'environnement,Université Grenoble Alpes,Institut polytechnique de Grenoble,Université Savoie Chambéry,Météo France,Université Gustave Eiffel;CNRS,IRD,INRAE,GRENOBLE ALPES,GRENOBLE INP,CHAMBERY,METEO,UNIV.G.EIFFEL;EPST,EPST,EPST,UNIV,AUT_ETAB,UNIV,PRIVE,UNIV;Organismes de type EPST,Organismes de type EPST,Organismes de type EPST,Université,Autres établissements ESR,Université,Société de droit privé française,Université;0753639Y,0133973Y,0383546Y,0381912X,0730858L,0772894C;18008901303720,18000602500159,18007003901803,13002608100013,19381912500017,19730858800015,18006003002117,13002612300013;TUTE,TUTE,TUTE,TUTE,PART,PART,PART,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant,établissement participant,établissement participant,établissement participant;201722374A,201119454C,201119432D,200710869N,200511874P,199511994N,199511963E;;;;;;2,3,7,8,10;Physique,Sciences de la terre et de l'univers, espace,Sciences de la société,Sciences pour l'ingénieur,Sciences agronomiques et écologiques;PE9;Universe Sciences : Astro-physics/-chemistry/-biology,solar system,planetary systems,stellar, galactic and extragalactic astronomy,cosmology,space sciences,astronomical instrumentation and data;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200310841A&PUBLIC=OK
200410855L;GALILEE-OCA;GALILEEOCA;2000;Structures Fédératives de Recherche;3;3;http://www.oca.eu;Bd de l'Observatoire - CS 34229;06304;NICE CEDEX 4;MAZEVET;Stéphane;Directeur;UMS 2202,UAR 2202,UMS 2202;Observatoire de la Côte d'Azur Nice,Centre national de la recherche scientifique,Université Côte d'Azur;OBSV. COTE D'AZUR,CNRS,UniCA;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0060099A,0753639Y,0062205P;19061563300012,18008901303720,13002566100013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;201220434N,201220431K,200816914E;;;;;;3;Sciences de la terre et de l'univers, espace;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200410855L&PUBLIC=OK
200310876N;Cellule de Coordination Documentaire nationale pour les Mathématiques;MathDoc;1995;Structures Fédératives de Recherche;3;3;http://www.mathdoc.fr/;150 rue de la Chimie;38402;ST MARTIN D HERES CEDEX;MIOT,LABBE,BEFFARA;Evelyne,Olivier,Vincent;Directrice,Directeur Adjoint;UAR 5638,UMS 5638;Centre national de la recherche scientifique,Université Grenoble Alpes;CNRS,GRENOBLE ALPES;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0383546Y;18008901303720,13002608100013;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;1;Mathématiques et leurs interactions;PE1;Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200310876N&PUBLIC=OK
200012121E;Génie Enzymatique et Cellulaire. Reconnaissance Moléculaire et Catalyse;GEC;2013;Unité mixte;22;2;http://www.umr7025-gec.fr/;UNIVERSITE DE TECHNOLOGIE DE COMPIEGNE, CENTRE DE RECHERCHES - BAT F, CS 60319;60203;COMPIEGNE CEDEX;AVALLE-BIHAN,D'AMELIO;Bérangère,Nicola;Responsable Amiénois;UMR 7025,UMR 7025;Université de Technologie de Compiègne,Université Picardie Jules-Verne Amiens,Centre national de la recherche scientifique;UT COMPIEGNE,AMIENS,CNRS;UNIV,UNIV,EPST;Université,Université,Organismes de type EPST;0601223D,0801344B,0753639Y;19601223100169,19801344300017,18008901303720;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;10;Sciences agronomiques et écologiques;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200012121E&PUBLIC=OK
200012140A;THEORISER ET MODELISER POUR AMENAGER - UMR 6049;ThéMA;2000;Unité mixte;22;2;http://thema.univ-fcomte.fr/;32 Rue Megevand;25030;BESANCON CEDEX;TANNIER,THEVENIN,CARPENTIER-POSTEL;Cécile,Thomas,Samuel;Directrice adjointe,Responsable de site,directeur;UMR 6049,UMR 6049,UMR 6049;Centre national de la recherche scientifique,Université Marie et Louis Pasteur,Université Bourgogne Europe (EPE);CNRS,UMLP,UBE;EPST,UNIV,UNIV;Organismes de type EPST,Université,Université;0753639Y,0252044L,0212296G;18008901303720,93810656400017,93823061200013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;3,6,7,10;Sciences de la terre et de l'univers, espace,Sciences humaines et humanités,Sciences de la société,Sciences agronomiques et écologiques;"PE10;SH3;SH2";Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,The Social World and Its Interactions : Sociology, social psychology, education sciences, communication studies,Institutions, Governance and Legal Systems : Political science, international relations, law;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200012140A&PUBLIC=OK
200012185Z;LABORATOIRE DE PLANETOLOGIE ET GEOSCIENCES;LPG;2000;Unité mixte;22;2;https://lpg-umr6112.fr;2 Rue de la Houssinière;44322;NANTES CEDEX 3;CHOBLET,ZANELLA,METZGER,LANGLAIS;GAEL,Alain,Edouard,Benoit;dir-adj Le Mans Univ,Directeur-adjoint,Directeur;UMR 6112,UMR 6112,UMR 6112,UMR 6112,UMR 6112;Université Angers,Le Mans Université,Centre national de la recherche scientifique,Nantes Université,Centre National d'Etude Spatiales;ANGERS,LE MANS,CNRS,Nantes Université,CNES;UNIV,UNIV,EPST,UNIV,EPIC;Université,Université,Organismes de type EPST,Université,Organismes de type EPIC;0490970N,0720916E,0753639Y,0442953W,0752743Z;19490970100303,19720916600010,18008901303720,13002974700016,77566591200082;TUTE,TUTE,TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant;;201420664E;;;;;3;Sciences de la terre et de l'univers, espace;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200012185Z&PUBLIC=OK
200012210B;Morphodynamique Continentale et Côitère;M2C;1996;Unité mixte;22;2;http://www.unicaen.fr/recherche/m2c;24 Rue des tilleuls;14000;CAEN;DEZILEAU,TESSIER;Laurent,Bernadette;Directeur,Directrice adjointe;UMR 6143,UMR 6143,UMR 6143;Université de Caen Normandie,Université Rouen,Centre national de la recherche scientifique;CAEN,ROUEN,CNRS;UNIV,UNIV,EPST;Université,Université,Organismes de type EPST;0141408E,0761904G,0753639Y;19141408500016,19761904200017,18008901303720;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;200810763U;;;;;3,8,10;Sciences de la terre et de l'univers, espace,Sciences pour l'ingénieur,Sciences agronomiques et écologiques;"LS9;PE10";Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200012210B&PUBLIC=OK
200711930S;PRAXILING;PRAXILING;2006;Unité mixte;22;2;http://praxiling.univ-montp3.fr;UNIVERSITE MONTPELLIER III Route de Mende;34199;MONTPELLIER cedex 05;HIRSCH;Fabrice;DIR;UMR 5267,UMR 5267;Centre national de la recherche scientifique,Université de Montpellier Paul Valery (EPE);CNRS,UMPV;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0342569H;18008901303720,93249089900014;TUTE,TUTE;établissement tutelle,établissement tutelle;;200119844V;;;;;6,7,9;Sciences humaines et humanités,Sciences de la société,Sciences et technologies de l'information et de la communication;SH4;The Human Mind and Its Complexity : Cognitive science, psychology, linguistics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711930S&PUBLIC=OK
201521803N;Cerema Direction Territoriale Normandie-Centre;Cerema-NCe;2014;Unité propre;21;2;http://www.normandie-centre.cerema.fr;10, chemin de la Poudrière - CS 90245;76121;Le Grand Quevilly;WABINSKI;Jerome;;;Centre d'études et d'expertise sur les risques, l'environnement, la mobilité et l'aménagement;CEREMA;EPA;Etablissement public à caractère administratif;;13001831000537;TUTE;établissement tutelle;;;;;;;;;PE8;Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521803N&PUBLIC=OK
197112027D;Laboratoire Aménagement, Économie, Transport;LAET;1995;Unité mixte;22;2;https://laet.science/;14 avenue Berthelot;69363;LYON CEDEX 07;BOUZOUINA;Louafi;DIR;UMR 5593,UMR 5593,UMR 5593;Université Lumière Lyon 2,Ecole Nationale des Travaux Publics de l'Etat Lyon,Centre national de la recherche scientifique;LYON 2,ENTPE LYON,CNRS;UNIV,AUT_ETAB,EPST;Université,Autres établissements ESR,Organismes de type EPST;0691775E,0692566P,0753639Y;19691775100014,13000288400018,18008901303720;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;201119599K;;;;;6,7;Sciences humaines et humanités,Sciences de la société;"SH2;SH3;SH1";Institutions, Governance and Legal Systems : Political science, international relations, law,The Social World and Its Interactions : Sociology, social psychology, education sciences, communication studies,Individuals, Markets and Organisations : Economics, finance, management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=197112027D&PUBLIC=OK
199512038L;Travaux de Recherches Archéologiques sur les Cultures, les Espaces et les Sociétés;TRACES;1995;Unité mixte;22;2;http://traces.univ-tlse2.fr;Université Toulouse-Jean Jaurès, 5 allées Antonio Machado, Maison de la recherche;31058;TOULOUSE CEDEX 9;DARDENAY,TEYSSANDIER,COSTAMAGNO,COSTAMAGNO;Alexandra,Nicolas,Sandrine,Sandrine;Directrice adjointe,Directeur adjoint,Directrice,Directrice;UMR 5608,UMR 5608,UMR 5608,UMR 5608,UMR 5608;Université Toulouse - Jean Jaurès,Centre national de la recherche scientifique,Ministère de la culture,Institut National de Recherches Archeologiques Preventives,Ecole des Hautes Etudes en Sciences Sociales Paris;TOULOUSE 2,CNRS,MIN.CULT,INRAP,EHESS PARIS;UNIV,EPST,AUT_OP_FR,EPA,AUT_ETAB;Université,Organismes de type EPST,Autre opérateur de droit français,Etablissement public à caractère administratif,Autres établissements ESR;0311383K,0753639Y,0755502Y,0753742K;19311383400017,18008901303720,11004601800013,18009226400225,19753742600011;TUTE,TUTE,TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant;;;;;;;6;Sciences humaines et humanités;SH6;The Study of the Human Past : Archaeology and history;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199512038L&PUBLIC=OK
199512045U;LABORATOIRE DES MULTIMATERIAUX ET INTERFACES;LMI;1995;Unité mixte;22;2;http://lmi.cnrs.fr;43 Bvd du 11 Novembre 1918;69622;VILLEURBANNE CEDEX;FERRO;Gabriel;Directeur;UMR 5615,UMR 5615;Université Claude Bernard Lyon 1,Centre national de la recherche scientifique;LYON 1,CNRS;UNIV,EPST;Université,Organismes de type EPST;0691774D,0753639Y;19691774400019,18008901303720;TUTE,TUTE;établissement tutelle,établissement tutelle;;200710696A;;;;;4;Chimie;"LS7;PE5";Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine,Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199512045U&PUBLIC=OK
199812078S;LABORATOIRE DE PHYSIQUE DE L'ENS DE LYON;;1999;Unité mixte;22;2;http://www.ens-lyon.fr/PHYSIQUE/;46 Allée d'Italie;69364;LYON CEDEX 07;GEMINARD;Jean-Christophe;Directeur;UMR 5672,UMR 5672;Centre national de la recherche scientifique,Ecole Normale Supérieure de Lyon;CNRS,ENS LYON;EPST,AUT_ETAB;Organismes de type EPST,Autres établissements ESR;0753639Y,0694123G;18008901303720,13000812100019;TUTE,TUTE;établissement tutelle,établissement tutelle;202424607X;201119599K,201119590A;;;;;1,3,4,5,8;Mathématiques et leurs interactions,Sciences de la terre et de l'univers, espace,Chimie,Biologie, médecine et santé,Sciences pour l'ingénieur;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199812078S&PUBLIC=OK
199511963E;Laboratoire des Ecoulements Géophysiques et Industriels;LEGI;1992;Unité mixte;22;2;http://www.legi.grenoble-inp.fr/web/;1209-1211 rue de la piscine - 38400 Saint-Martin-d'Hères;38058;CS 40700 GRENOBLE CEDEX 9 FRANCE;FRANC,BALARAC,MORDANT;Jean-Pierre,Guillaume,Nicolas;DIR-ADJ,Directeur adjoint,DIR-ADJ;UMR 5519,UMR 5519,UMR 5519;Institut polytechnique de Grenoble,Centre national de la recherche scientifique,Université Grenoble Alpes;GRENOBLE INP,CNRS,GRENOBLE ALPES;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0381912X,0753639Y,0383546Y;19381912500017,18008901303720,13002608100013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;200310841A;;;;;2,3,8;Physique,Sciences de la terre et de l'univers, espace,Sciences pour l'ingénieur;"PE8;PE10";Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods,Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199511963E&PUBLIC=OK
199511980Y;Centre de Résonance Magnétique des Systèmes Biologiques;CRMSB;1995;Unité mixte;22;2;http://www.rmsb.u-bordeaux.fr;UB, Site de Carreire, BAT A, 146 rue Léo Saignat;33076;BORDEAUX CEDEX;MIRAUX,BOUZIER-SORE;Sylvain,Anne-Karine;DR,DIR-ADJ;UMR 5536,UMR 5536;Centre national de la recherche scientifique,Université de Bordeaux;CNRS,BORDEAUX;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0333298F;18008901303720,13001835100010;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;5,8;Biologie, médecine et santé,Sciences pour l'ingénieur;LS7;Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199511980Y&PUBLIC=OK
199511997S;Ecologie microbienne;EM;1995;Unité mixte;22;2;http://ecologiemicrobiennelyon.fr;43 boulevard du 11 Novembre 1918;69622;VILLEURBANNE CEDEX;WISNIEWSKI DYE,NAZARET,LE ROUX;Florence,Sylvie,Xavier;Directrice adjointe,Directrice,Directeur adjoint;UMR 5557,UMR 5557,UMR 5557,UMR 1418;VetAgro Sup,Université Claude Bernard Lyon 1,Centre national de la recherche scientifique,Institut national de recherche pour l'agriculture, l'alimentation et l'environnement,Université Jean Monnet EPE;VETAGRO SUP,LYON 1,CNRS,INRAE,UJM;AUT_ETAB,UNIV,EPST,EPST,UNIV;Autres établissements ESR,Université,Organismes de type EPST,Organismes de type EPST,Université;0690193K,0691774D,0753639Y,0422388T;13000858400018,19691774400019,18008901303720,18007003901803,93850168100010;TUTE,TUTE,TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant;;201119591B;;;;;10;Sciences agronomiques et écologiques;LS8;Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199511997S&PUBLIC=OK
199411998X;LABORATOIRE DE BIOMÉTRIE ET BIOLOGIE EVOLUTIVE;LBBE;1995;Unité mixte;22;2;http://lbbe.univ-lyon1.fr/;Université Claude Bernard Lyon 1 - Bâtiment Mendel - Campus Lyon Tech la Doua - 43 boulevard du 11 Novembre 1918;69622;VILLEURBANNE CEDEX;DESOUHANT,VAVRE;Emmanuel,Fabrice;Dirececteur adjoint,Directeur;UMR 5558,UMR 5558,UMR 5558,UMR 5558,UMR 5558;VetAgro Sup,Université Claude Bernard Lyon 1,Centre national de la recherche scientifique,Institut national de la sante et de la recherche medicale,Institut national de la recherche en informatique et automatique,Hospices Civils de Lyon;VETAGRO SUP,LYON 1,CNRS,INSERM,INRIA,HCL - CHU LYON;AUT_ETAB,UNIV,EPST,EPST,EPST,MEDIC;Autres établissements ESR,Université,Organismes de type EPST,Organismes de type EPST,Organismes de type EPST,Etablissements de santé;0690193K,0691774D,0753639Y,0755364Y,0780491K,0693209N;13000858400018,19691774400019,18008901303720,18003604800015,18008904700013,26690027300019;TUTE,TUTE,TUTE,PART,PART,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement participant,établissement participant,établissement participant;202424607X,202124074F,201521243E,200920929P,200118258W;201119599K,201119591B;;;;;10;Sciences agronomiques et écologiques;LS2;Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199411998X&PUBLIC=OK
199512012H;Centre de Recherche Astrophysique de Lyon;CRAL;1995;Unité mixte;22;2;http://cral.univ-lyon1.fr/;9 avenue Charles André;69561;ST GENIS LAVAL CEDEX;GONZALEZ,TALLON,BLAIZOT;Jean-François,Michel,Jérémy;Directeur par intérim,Directeur adjoint,Directeur adjoint;UMR 5574,UMR 5574,UMR 5574;Université Claude Bernard Lyon 1,Centre national de la recherche scientifique,Ecole Normale Supérieure de Lyon;LYON 1,CNRS,ENS LYON;UNIV,EPST,AUT_ETAB;Université,Organismes de type EPST,Autres établissements ESR;0691774D,0753639Y,0694123G;19691774400019,18008901303720,13000812100019;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;201119599K,201119590A,201521823K;;;;;3;Sciences de la terre et de l'univers, espace;PE9;Universe Sciences : Astro-physics/-chemistry/-biology,solar system,planetary systems,stellar, galactic and extragalactic astronomy,cosmology,space sciences,astronomical instrumentation and data;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199512012H&PUBLIC=OK
199911775H;INSTITUT de PHARMACOLOGIE et de BIOLOGIE STRUCTURALE;IPBS;1999;Unité mixte;22;2;http://www.ipbs.fr;205 route de Narbonne, BP 64182;31077;TOULOUSE CEDEX 4;MULLER,DUMAS,NEYROLLES;Catherine,Fabrice,Olivier;Directrice adjointe,Directeur adjoint,Directeur;UMR 5089,UMR 5089,UMR 5089;Centre national de la recherche scientifique,Université de Toulouse EPE,Institut national de la sante et de la recherche medicale;CNRS,UT,INSERM;EPST,UNIV,EPST;Organismes de type EPST,Université,Organismes de type EPST;0753639Y,0313218E,0755364Y;18008901303720,93827139200012,18003604800015;TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement participant;;;;;;;4,5;Chimie,Biologie, médecine et santé;"LS6;LS1;LS4;LS3";Immunity, Infection and Immunotherapy : The immune system, related disorders and their mechanisms, biology of infectious agents and infection, biological basis of prevention and treatment of infectious diseases, innovative immunological tools and approaches, including therapies,Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling,Physiology in Health, Disease and Ageing : Organ and tissue physiology, comparative physiology, physiology of ageing, pathophysiology, inter-organ and tissue communication, endocrinology, nutrition, metabolism, interaction with the microbiome, non-communicable diseases including cancer (and except disorders of the nervous system and immunity-related diseases),Cell Biology, Development, Stem Cells and Regeneration : Structure and function of the cell, cell-cell communication, embryogenesis, tissue differentiation, organogenesis, growth, development, evolution of development, organoids, stem cells, regeneration, therapeutic approaches;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199911775H&PUBLIC=OK
199511789R;VERIMAG;VERIMAG;1999;Unité mixte;22;2;http://www-verimag.imag.fr/;Bâtiment IMAG - 700 avenue centrale;38401;Saint-Martin-d'Hères;RAYMOND;Pascal;directeur adjoint;UMR 5104,UMR 5104,UMR 5104;Centre national de la recherche scientifique,Université Grenoble Alpes,Institut polytechnique de Grenoble;CNRS,GRENOBLE ALPES,GRENOBLE INP;EPST,UNIV,AUT_ETAB;Organismes de type EPST,Université,Autres établissements ESR;0753639Y,0383546Y,0381912X;18008901303720,13002608100013,19381912500017;TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement participant;;;;;;;9;Sciences et technologies de l'information et de la communication;PE6;Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199511789R&PUBLIC=OK
200111810M;Laboratoire de mathématiques;LAMA;2001;Unité mixte;22;2;http://www.lama.univ-savoie.fr;;73376;LE BOURGET DU LAC CEDEX;BUCUR,COMTE;Damir,Georges;DIR,Dir Adjoint;UMR 5127,UMR 5127;Université Savoie Chambéry,Centre national de la recherche scientifique;CHAMBERY,CNRS;UNIV,EPST;Université,Organismes de type EPST;0730858L,0753639Y;19730858800015,18008901303720;TUTE,TUTE;établissement tutelle,établissement tutelle;;200710690U;;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200111810M&PUBLIC=OK
200311817L;France, Amériques, Espagne, Sociétés, Pouvoirs, Acteurs;FRA.M.ESPA;2001;Unité mixte;22;2;http://framespa.univ-tlse2.fr;5 allée Antonio Machado;31058;TOULOUSE CEDEX 9;BALOUP,LAURENT;Daniel,Natacha;Directeur,Directrice adjointe;UMR 5136,UMR 5136,UMR 5136;Université Toulouse - Jean Jaurès,Université Perpignan via Domitia,Centre national de la recherche scientifique;TOULOUSE 2,PERPIGNAN,CNRS;UNIV,UNIV,EPST;Université,Université,Organismes de type EPST;0311383K,0660437S,0753639Y;19311383400017,19660437500010,18008901303720;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;6;Sciences humaines et humanités;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200311817L&PUBLIC=OK
200311829Z;LABORATOIRE DE PHYSIQUE THEORIQUE;LPT;2003;Unité mixte;22;2;http://www.lpt.ups-tlse.fr/;118 route de Narbonne;31062;TOULOUSE CEDEX 9;CAPPONI,MAMBINI;Sylvain,Mathieu;Directeur;UMR 5152,UMR 5152;Centre national de la recherche scientifique,Université de Toulouse EPE;CNRS,UT;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0313218E;18008901303720,93827139200012;TUTE,TUTE;établissement tutelle,établissement tutelle;;202123707G;;;;;1,4;Mathématiques et leurs interactions,Chimie;"PE1;PE3;PE2";Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics,Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics,Fundamental constituents of matter : particle, nuclear, plasma, atomic, molecular, gas, and optical physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200311829Z&PUBLIC=OK
